threshold,precision,recall,f1
0.86,0.13608562691131498,0.9081632653061225,0.2367021276595745
0.87,0.13928012519561817,0.9081632653061225,0.24151967435549526
0.88,0.14308681672025725,0.9081632653061225,0.24722222222222223
0.89,0.14759535655058043,0.9081632653061225,0.25392296718972895
0.9,0.15292096219931273,0.9081632653061225,0.26176470588235295
0.91,0.1583629893238434,0.9081632653061225,0.26969696969696966
0.92,0.16296296296296298,0.8979591836734694,0.27586206896551724
0.93,0.17227722772277226,0.8877551020408163,0.2885572139303483
0.94,0.1839323467230444,0.8877551020408163,0.30472854640980734
0.95,0.20046082949308755,0.8877551020408163,0.3270676691729323
0.96,0.2283464566929134,0.8877551020408163,0.36325678496868474
0.97,0.2744479495268139,0.8877551020408163,0.41927710843373495
0.98,0.3386454183266932,0.8673469387755102,0.4871060171919771
0.99,0.49707602339181284,0.8673469387755102,0.6319702602230484
